language,product_id,product_parent_id,product_code,product_type_id,product_name,product_scientific_names
EN,379,,1100000,1,"PRODUCTS OF ANIMAL ORIGIN - FISH, FISHPRODUCTS AND ANY OTHER MARINE AND FRESHWATER FOOD PRODUCTS (8)",
EN,109,108.0,0220010,4,Garlic,"Allium sativum, "
EN,349,313.0,1016000,3,(f) poultry,
EN,338,335.0,1014030,4,Liver,
EN,204,201.0,0300030,4,Peas,"Pisum sativum, "
EN,160,158.0,0252020,4,Purslanes,"Portulaca oleracea, "
EN,342,313.0,1015000,3,(e) equine,"Equus spp., "
EN,363,312.0,1020000,2,Milk,
EN,269,267.0,0810020,4,Black caraway/black cumin,"Bunium persicum, "
EN,173,166.0,0256070,4,Thyme,"Thymus vulgaris, "
EN,270,267.0,0810030,4,Celery,"Apium graveolens, "
EN,54,45.0,0154990,5,Others (2),
EN,28,22.0,0130990,5,Others (2),
EN,153,148.0,0251050,4,Land cresses,"Barbarea verna, "
EN,137,134.0,0241990,5,Others (2),
EN,221,208.0,0401130,4,Gold of pleasure seeds,"Camelina sativa, "
EN,52,45.0,0154070,4,Azaroles/Mediterranean medlars,"Crataegus azarolus, "
EN,286,278.0,0820080,4,Tamarind,"Tamarindus indica, "
EN,75,73.0,0163020,4,Bananas,"Musa acuminata, Musa acuminata x Musa balbisiana, Musa balbisiana, "
EN,103,95.0,0213080,4,Radishes,"Raphanus sativus Radish Group, "
EN,368,363.0,1020990,5,Others (2),
EN,32,29.0,0140030,4,Peaches,"Persica vulgaris; syn: Prunus persica, "
EN,69,65.0,0162040,4,Prickly pears/cactus fruits,"Opuntia ficus-indica, "
EN,229,225.0,0402040,4,Kapok,"Ceiba pentandra, "
EN,340,335.0,1014050,4,Edible offals (other than liver and kidney),
EN,365,363.0,1020020,4,Sheep,"Ovis aries, "
EN,198,196.0,0280020,4,Wild fungi,
EN,367,363.0,1020040,4,Horse,"Equus caballus, "
EN,336,335.0,1014010,4,Muscle,
EN,10,9.0,0120010,4,Almonds,"Amygdalus communis; syn: Prunus dulcis, "
EN,296,291.0,0840990,5,Others (2),
EN,350,349.0,1016010,4,Muscle,
EN,149,148.0,0251010,4,Lamb's lettuces/corn salads,"Valerianella locusta, "
EN,102,95.0,0213070,4,Parsley roots/Hamburg roots parsley,"Petroselinum crispum convar. radicosum, "
EN,205,201.0,0300040,4,Lupins/lupini beans,"Lupinus albus subsp. albus, Lupinus angustifolius, Lupinus luteus, Lupinus mutabilis, "
EN,19,9.0,0120100,4,Pistachios,"Pistacia vera, "
EN,155,148.0,0251070,4,Red mustards,"Brassica juncea var. rugosa, "
EN,7,2.0,0110050,4,Mandarins,"Citrus reticulata; syn: Citrus deliciosa, "
EN,214,208.0,0401060,4,Rapeseeds/canola seeds,"Brassica napus subsp. napus, "
EN,37,36.0,0151010,4,Table grapes,"Vitis vinifera, "
EN,288,266.0,0830000,2,Bark spices,
EN,95,87.0,0213000,3,(c) other root and tuber vegetables except sugar beets,
EN,114,86.0,0230000,2,Fruiting vegetables,
EN,111,108.0,0220030,4,Shallots,"Allium cepa Aggregatum Group; syn: Allium ascalonicum, "
EN,309,307.0,0900020,4,Sugar canes,"Saccharum officinarum, "
EN,117,115.0,0231020,4,Sweet peppers/bell peppers,"Capsicum annuum, "
EN,238,231.0,0500070,4,Rye,"Secale cereale, "
EN,330,328.0,1013020,4,Fat,
EN,115,114.0,0231000,3,(a) Solanaceae and Malvaceae,
EN,265,,0700000,1,HOPS,"Humulus lupulus, "
EN,319,314.0,1011050,4,Edible offals (other than liver and kidney),
